USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23248 13428 ?        Ss   14:32   0:01 /sbin/init splash
root         215  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/11:1H-kblockd]
root         217  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/8:1H-kblockd]
root         218  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/9:1H-kblockd]
root         219  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/10:1H-kblockd]
root         231  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_0]
root         232  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         233  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_1]
root         234  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         236  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_2]
root         237  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         238  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_3]
root         239  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         240  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_4]
root         241  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         242  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_5]
root         243  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         245  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_6]
root         246  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         247  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_7]
root         248  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         255  0.0  0.0      0     0 ?        I    14:32   0:01 [kworker/u66:7-flush-8:16]
root         258  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_8]
root         259  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         260  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_9]
root         261  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         262  0.0  0.0      0     0 ?        I    14:32   0:00 [kworker/u65:3-writeback]
root         263  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_10]
root         264  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/R-scsi_]
root         266  0.0  0.0      0     0 ?        I<   14:32   0:00 [kworker/6:1H-kblockd]
root         288  0.0  0.0      0     0 ?        I    14:32   0:00 [kworker/3:2-rcu_par_gp]
root         293  0.0  0.0      0     0 ?        I    14:32   0:00 [kworker/4:2-mm_percpu_wq]
root         294  0.0  0.0      0     0 ?        I    14:32   0:00 [kworker/6:2-mm_percpu_wq]
root         301  0.0  0.0      0     0 ?        S    14:32   0:00 [scsi_eh_11]
